dc_id,sku_id,factory_id,unit_transport_cost,holding_cost,stockout_cost,objective,transport_cost,holding_cost_total,stockout_cost_total,total_cost_check
DC003,SKU056,F001,196.0,2.94,294.0,146591.34,91728.0,44867.34,9996.0,146591.34
DC003,SKU057,F001,196.0,2.94,294.0,534505.7199999983,499408.0,34215.72,882.0,534505.72
DC003,SKU058,F001,196.0,2.94,294.0,429545.75999999995,381024.0,12947.76,35574.0,429545.76
DC003,SKU060,F001,196.0,2.94,294.0,288607.05999999976,266560.0,13815.06,8232.0,288607.06
DC003,SKU062,F001,196.0,2.94,294.0,6283836.44,6007400.0,268204.44,8232.0,6283836.44
DC003,SKU063,F001,196.0,2.94,294.0,9541326.059999984,9055200.0,476130.06,9996.0,9541326.06
DC003,SKU068,F001,196.0,2.94,294.0,3325323.2599999993,3120320.0,92695.26,112308.0,3325323.26
DC003,SKU069,F001,196.0,2.94,294.0,2279732.8399999957,2160704.0,118440.84,588.0,2279732.84
DC003,SKU070,F001,196.0,2.94,294.0,2758581.4199999985,2660112.0,89943.42,8526.0,2758581.42
DC003,SKU071,F001,196.0,2.94,294.0,822334.6599998154,784000.0,36570.659999999996,1764.0,822334.66
DC004,SKU001,F001,170.0,2.5500000000000003,255.0,40845.05,27200.0,4465.05,9180.0,40845.05
DC004,SKU002,F001,170.0,2.5500000000000003,255.0,175112.74999999965,141440.0,6387.750000000001,27285.0,175112.75
DC004,SKU005,F001,170.0,2.5500000000000003,255.0,141887.09999999995,128520.0,10307.1,3060.0,141887.1
DC004,SKU006,F001,170.0,2.5500000000000003,255.0,1221246.85,1166200.0,46631.850000000006,8415.0,1221246.85
DC004,SKU008,F001,170.0,2.5500000000000003,255.0,24083.899999999998,11900.0,1983.9000000000003,10200.0,24083.9
DC004,SKU009,F001,170.0,2.5500000000000003,255.0,265239.9499999995,231200.0,12109.95,21930.0,265239.95
DC004,SKU011,F001,170.0,2.5500000000000003,255.0,874273.4499999353,824500.0,25803.450000000004,23970.0,874273.45
DC004,SKU012,F001,170.0,2.5500000000000003,255.0,204447.94999999486,154700.0,28072.950000000004,21675.0,204447.95
DC004,SKU013,F001,170.0,2.5500000000000003,255.0,112944.59999999999,95370.0,17574.600000000002,0.0,112944.6
DC004,SKU015,F001,170.0,2.5500000000000003,255.0,1287561.299999978,1256640.0,30411.300000000003,510.0,1287561.3
DC004,SKU016,F001,170.0,2.5500000000000003,255.0,342457.3499997691,285600.0,51757.350000000006,5100.0,342457.35
DC004,SKU017,F001,170.0,2.5500000000000003,255.0,148999.0499999995,135660.0,6709.050000000001,6630.0,148999.05
DC004,SKU019,F001,170.0,2.5500000000000003,255.0,31732783.95,30866220.0,856618.9500000001,9945.0,31732783.95
DC004,SKU022,F001,170.0,2.5500000000000003,255.0,42972941.7,39651480.0,1432931.7000000002,1888530.0,42972941.7
DC004,SKU023,F001,170.0,2.5500000000000003,255.0,81454678.05000004,78899040.0,2554108.0500000003,1530.0,81454678.05
DC004,SKU024,F001,170.0,2.5500000000000003,255.0,421285.4999999984,377400.0,11500.500000000002,32385.0,421285.5
DC004,SKU025,F001,170.0,2.5500000000000003,255.0,8551815.149999999,7986600.0,241620.15000000002,323595.0,8551815.15
DC004,SKU026,F001,170.0,2.5500000000000003,255.0,216727.05000000002,0.0,216727.05000000002,0.0,216727.05000000002
DC004,SKU027,F001,170.0,2.5500000000000003,255.0,149582.99999999965,135660.0,8823.000000000002,5100.0,149583.0
DC004,SKU029,F001,170.0,2.5500000000000003,255.0,7191839.8,6521200.0,667579.8,3060.0,7191839.8
DC004,SKU030,F001,170.0,2.5500000000000003,255.0,2040.0,0.0,0.0,2040.0,2040.0
DC004,SKU031,F001,170.0,2.5500000000000003,255.0,0.0,0.0,0.0,0.0,0.0
DC004,SKU032,F001,170.0,2.5500000000000003,255.0,2805364.65,2648940.0,153364.65000000002,3060.0,2805364.65
DC004,SKU033,F001,170.0,2.5500000000000003,255.0,92881.19999999783,85680.0,7201.200000000001,0.0,92881.2
DC004,SKU034,F001,170.0,2.5500000000000003,255.0,733420.7999999992,693600.0,33190.8,6630.0,733420.8
DC004,SKU036,F001,170.0,2.5500000000000003,255.0,1749129.1499996705,1672800.0,43179.15,33150.0,1749129.15
DC004,SKU038,F001,170.0,2.5500000000000003,255.0,60993.45000000001,0.0,60993.450000000004,0.0,60993.450000000004
DC004,SKU039,F001,170.0,2.5500000000000003,255.0,2223985.049999961,2099160.0,116665.05000000002,8160.0,2223985.05
DC004,SKU041,F001,170.0,2.5500000000000003,255.0,275700.9000000002,261120.0,14580.900000000001,0.0,275700.9
DC004,SKU042,F001,170.0,2.5500000000000003,255.0,0.0,0.0,0.0,0.0,0.0
DC004,SKU045,F001,170.0,2.5500000000000003,255.0,20364991.89999999,18781600.0,1564776.9000000001,18615.0,20364991.9
DC004,SKU046,F001,170.0,2.5500000000000003,255.0,23903239.29999999,22135360.0,582384.3,1185495.0,23903239.3
DC004,SKU047,F001,170.0,2.5500000000000003,255.0,578237.1499999993,512720.0,56847.15000000001,8670.0,578237.15
DC004,SKU048,F001,170.0,2.5500000000000003,255.0,136529.55000000002,0.0,136529.55000000002,0.0,136529.55000000002
DC004,SKU050,F001,170.0,2.5500000000000003,255.0,123233.8499840663,114240.0,8993.85,0.0,123233.85
DC004,SKU052,F001,170.0,2.5500000000000003,255.0,310635.89999999997,285600.0,12795.900000000001,12240.0,310635.9
DC004,SKU053,F001,170.0,2.5500000000000003,255.0,267490.75000000146,217600.0,17250.75,32640.0,267490.75
DC004,SKU054,F001,170.0,2.5500000000000003,255.0,168863.55000000002,0.0,168863.55000000002,0.0,168863.55000000002
DC004,SKU055,F001,170.0,2.5500000000000003,255.0,166569.3999999995,136000.0,4559.400000000001,26010.0,166569.4
DC004,SKU056,F001,170.0,2.5500000000000003,255.0,459802.3999999998,433160.0,19757.4,6885.0,459802.4
DC004,SKU057,F001,170.0,2.5500000000000003,255.0,0.0,0.0,0.0,0.0,0.0
DC004,SKU058,F001,170.0,2.5500000000000003,255.0,1230479.5499999844,1181160.0,36314.55,13005.0,1230479.55
DC004,SKU060,F001,170.0,2.5500000000000003,255.0,131035.99999999971,108800.0,7191.000000000001,15045.0,131036.0
DC004,SKU062,F001,170.0,2.5500000000000003,255.0,8393899.6,8168500.0,217494.60000000003,7905.0,8393899.6
DC004,SKU063,F001,170.0,2.5500000000000003,255.0,199609.7499999995,161500.0,8529.75,29580.0,199609.75
DC004,SKU068,F001,170.0,2.5500000000000003,255.0,1308828.299999981,1183200.0,43008.3,82620.0,1308828.3
DC004,SKU069,F001,170.0,2.5500000000000003,255.0,2818260.85,2722720.0,87125.85,8415.0,2818260.85
DC004,SKU070,F001,170.0,2.5500000000000003,255.0,31350.549999999992,17680.0,1940.5500000000002,11730.0,31350.55
DC004,SKU071,F001,170.0,2.5500000000000003,255.0,20286.099999999995,8500.0,311.1,11475.0,20286.1
DC005,SKU001,F001,170.0,2.5500000000000003,255.0,5355.0,0.0,0.0,5355.0,5355.0
DC005,SKU002,F001,170.0,2.5500000000000003,255.0,11675.6,8840.0,285.6,2550.0,11675.6
DC005,SKU005,F001,170.0,2.5500000000000003,255.0,176980.19999999966,165240.0,9955.2,1785.0,176980.2
DC005,SKU006,F001,170.0,2.5500000000000003,255.0,2109156.0,2034900.0,69666.00000000001,4590.0,2109156.0
DC005,SKU008,F001,170.0,2.5500000000000003,255.0,896243.4,856800.0,36383.4,3060.0,896243.4
DC005,SKU009,F001,170.0,2.5500000000000003,255.0,2111349.849999999,2012800.0,56219.850000000006,42330.0,2111349.85
DC005,SKU011,F001,170.0,2.5500000000000003,255.0,1109045.149999999,1062500.0,34560.15,11985.0,1109045.15
DC005,SKU012,F001,170.0,2.5500000000000003,255.0,555210.65,486200.0,18010.65,51000.0,555210.65
DC005,SKU013,F001,170.0,2.5500000000000003,255.0,276291.65,222530.0,20866.65,32895.0,276291.65
DC005,SKU015,F001,170.0,2.5500000000000003,255.0,1196337.5999999961,1158720.0,37617.600000000006,0.0,1196337.6
DC005,SKU016,F001,170.0,2.5500000000000003,255.0,1924163.7000000025,1856400.0,66743.70000000001,1020.0,1924163.7
DC005,SKU017,F001,170.0,2.5500000000000003,255.0,42952.2,35700.0,5722.200000000001,1530.0,42952.2
DC005,SKU019,F001,170.0,2.5500000000000003,255.0,24611304.599999886,23240700.0,658389.6000000001,712215.0,24611304.6
DC005,SKU022,F001,170.0,2.5500000000000003,255.0,45076592.249999955,40704120.0,917987.2500000001,3454485.0,45076592.25
DC005,SKU023,F001,170.0,2.5500000000000003,255.0,94552166.55,87632280.0,1776026.5500000003,5143860.0,94552166.55
DC005,SKU024,F001,170.0,2.5500000000000003,255.0,727999.5,663000.0,16549.5,48450.0,727999.5
DC005,SKU025,F001,170.0,2.5500000000000003,255.0,8856767.100000001,8517000.0,229352.10000000003,110415.0,8856767.1
DC005,SKU026,F001,170.0,2.5500000000000003,255.0,924629.999915692,836400.0,26010.000000000004,62220.0,924630.0
DC005,SKU027,F001,170.0,2.5500000000000003,255.0,311242.7999999997,292740.0,10597.800000000001,7905.0,311242.8
DC005,SKU029,F001,170.0,2.5500000000000003,255.0,18853701.24999998,18345040.0,505346.25000000006,3315.0,18853701.25
DC005,SKU030,F001,170.0,2.5500000000000003,255.0,182814.59999999995,163200.0,9414.6,10200.0,182814.6
DC005,SKU031,F001,170.0,2.5500000000000003,255.0,116425.35,0.0,116425.35,0.0,116425.35
DC005,SKU032,F001,170.0,2.5500000000000003,255.0,2300859.899999993,2099160.0,73944.90000000001,127755.0,2300859.9
DC005,SKU034,F001,170.0,2.5500000000000003,255.0,1327387.2,1199520.0,30712.200000000004,97155.0,1327387.2
DC005,SKU036,F001,170.0,2.5500000000000003,255.0,5258720.499999993,5072800.0,166285.50000000003,19635.0,5258720.5
DC005,SKU038,F001,170.0,2.5500000000000003,255.0,45657.74999999999,28560.0,11997.750000000002,5100.0,45657.75
DC005,SKU039,F001,170.0,2.5500000000000003,255.0,1685514.2999999984,1613640.0,66264.3,5610.0,1685514.3
DC005,SKU041,F001,170.0,2.5500000000000003,255.0,368503.05000000127,350880.0,16858.050000000003,765.0,368503.05
DC005,SKU042,F001,170.0,2.5500000000000003,255.0,86029.34999999998,73440.0,3919.3500000000004,8670.0,86029.35
DC005,SKU045,F001,170.0,2.5500000000000003,255.0,37289276.45,34829600.0,1051311.4500000002,1408365.0,37289276.45
DC005,SKU046,F001,170.0,2.5500000000000003,255.0,33343262.8,30754360.0,989287.8,1599615.0,33343262.8
DC005,SKU047,F001,170.0,2.5500000000000003,255.0,6198656.449999997,5631080.0,147591.45,419985.0,6198656.45
DC005,SKU048,F001,170.0,2.5500000000000003,255.0,38658.00000000001,0.0,38658.00000000001,0.0,38658.00000000001
DC005,SKU049,F001,170.0,2.5500000000000003,255.0,16100.700000000003,0.0,16100.700000000003,0.0,16100.700000000003
DC005,SKU050,F001,170.0,2.5500000000000003,255.0,60209.75000000001,47600.0,10824.750000000002,1785.0,60209.75
DC005,SKU052,F001,170.0,2.5500000000000003,255.0,290716.9999999998,272000.0,11067.000000000002,7650.0,290717.0
DC005,SKU053,F001,170.0,2.5500000000000003,255.0,330304.9,299200.0,12234.900000000001,18870.0,330304.9
DC005,SKU054,F001,170.0,2.5500000000000003,255.0,165194.09997644354,28560.0,136634.1,0.0,165194.1
DC005,SKU055,F001,170.0,2.5500000000000003,255.0,332480.0499999934,314500.0,13645.050000000001,4335.0,332480.05
DC005,SKU056,F001,170.0,2.5500000000000003,255.0,515226.65,486200.0,25966.65,3060.0,515226.65
DC005,SKU057,F001,170.0,2.5500000000000003,255.0,45939.950000000004,8840.0,27154.950000000004,9945.0,45939.950000000004
DC005,SKU058,F001,170.0,2.5500000000000003,255.0,2409849.449999998,2337840.0,65124.450000000004,6885.0,2409849.45
DC005,SKU060,F001,170.0,2.5500000000000003,255.0,140382.59999999995,122400.0,14157.600000000002,3825.0,140382.6
DC005,SKU062,F001,170.0,2.5500000000000003,255.0,13018990.150000043,12019000.0,273240.15,726750.0,13018990.15
DC005,SKU063,F001,170.0,2.5500000000000003,255.0,2334207.0999999647,2227000.0,53657.100000000006,53550.0,2334207.1
DC005,SKU068,F001,170.0,2.5500000000000003,255.0,3147497.3000000003,2964800.0,79677.3,103020.0,3147497.3
DC005,SKU069,F001,170.0,2.5500000000000003,255.0,5033477.3,4305080.0,141897.30000000002,586500.0,5033477.3
DC005,SKU070,F001,170.0,2.5500000000000003,255.0,1201854.1,1051960.0,35654.100000000006,114240.0,1201854.1
DC005,SKU071,F001,170.0,2.5500000000000003,255.0,180382.75,161500.0,18372.750000000004,510.0,180382.75
DC006,SKU001,F001,212.0,3.18,318.0,124093.13965773709,101760.0,10249.140000000001,12084.0,124093.14
DC006,SKU002,F001,212.0,3.18,318.0,258683.45999999953,231504.0,11915.460000000001,15264.0,258683.46
DC006,SKU005,F001,212.0,3.18,318.0,1120228.14,1068480.0,27898.140000000003,23850.0,1120228.14
